"","I(X;Y)/H(Y)","I(X;Y)/H(X,Y)","Agreement","NotVotingP"
"STABENOW (D-MI)",0.650979786003591,0.450652812058986,0.926724137931034,0.00862068965517241
"KOHL (D-WI)",0.650580962477168,0.466983932072327,0.933908045977011,0.00431034482758621
"JOHNSON (D-SD)",0.644398999072263,0.422323101854896,0.915229885057471,0.0229885057471264
"MURRAY (D-WA)",0.641698810397757,0.42223451633886,0.915229885057471,0.0201149425287356
"PRYOR (D-AR)",0.637336889597439,0.44414704877486,0.92816091954023,0.00718390804597701
"LANDRIEU (D-LA)",0.632428837064619,0.38957178614504,0.896551724137931,0.0445402298850575
"TESTER (D-MT)",0.627915035346869,0.433906331244522,0.926724137931034,0.00862068965517241
"BEGICH (D-AK)",0.62474112228987,0.398925041339333,0.906609195402299,0.0301724137931034
"NELSON (D-FL)",0.623867943866753,0.411969217752284,0.915229885057471,0.0201149425287356
"HAGAN (D-NC)",0.619705087841118,0.419111340886518,0.919540229885057,0.0129310344827586
"INOUYE (D-HI)",0.613357910417878,0.405216302701617,0.90948275862069,0.0114942528735632
"BAUCUS (D-MT)",0.611734748459479,0.420063794673276,0.922413793103448,0.00718390804597701
"SHAHEEN (D-NH)",0.610907889699025,0.40188882703534,0.913793103448276,0.0172413793103448
"BENNET (D-CO)",0.607551293283517,0.406832709797766,0.916666666666667,0.014367816091954
"SCHUMER (D-NY)",0.606884180301396,0.416739593205419,0.919540229885057,0.00431034482758621
"CASEY (D-PA)",0.59755078437671,0.415795738136039,0.920977011494253,0.0014367816091954
"UDALL (D-CO)",0.597053980547233,0.405194418322997,0.918103448275862,0.00862068965517241
"AKAKA (D-HI)",0.596811429175479,0.408551528335989,0.913793103448276,0.0014367816091954
"BOXER (D-CA)",0.592100550006445,0.386867319777348,0.90948275862069,0.014367816091954
"KERRY  JOHN (D-MA)",0.590517849065413,0.370114730104832,0.896551724137931,0.0229885057471264
"DODD (D-CT)",0.587204156939269,0.361361394384107,0.892241379310345,0.028735632183908
"FEINSTEIN (D-CA)",0.586655575671565,0.401574978016022,0.916666666666667,0.0028735632183908
"MENENDEZ (D-NJ)",0.58481726613108,0.376061629639625,0.902298850574713,0.014367816091954
"UDALL (D-NM)",0.584210258292598,0.385927196847128,0.90948275862069,0.00862068965517241
"CONRAD (D-ND)",0.584127460315472,0.377379407508749,0.903735632183908,0.021551724137931
"CARPER (D-DE)",0.583528674807103,0.388640805404816,0.91235632183908,0.00862068965517241
"LEVIN  CARL (D-MI)",0.583028158325366,0.396879082474802,0.91235632183908,0.0014367816091954
"BINGAMAN (D-NM)",0.576073448885159,0.390601781419603,0.910919540229885,0.0014367816091954
